city,helpful_reader,hotel_locality,reviewer_location,hotel_url,title,content,hotel_address,hotel_name,hotel_review_stars,hotel_review_qty,review_stars,hotel_classs
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ",Deutschland,https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,Top Hotel,"
Top Hotel, mit einem super leckerem Restaurant, welches sich auch in einem super leckeren Frühstück widerspiegelt. Die Atmosphäre ist sehr modern und angenehm. Die Bedienung und das Personal ist jederzeit zuvorkommend, aber nicht aufdringlich.
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,5 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60549 Frankfurt am Main, Hessen, ","Berlin, Germany",https://www.tripadvisor.de/Hotel_Review-g187337-d202274-Reviews-Sheraton_Frankfurt_Airport_Hotel_Conference_Center-Frankfurt_Hesse.html,Mixed feelings about responsiveness of staff,"
ich hatte eines der als ""frisch"" renoviert angebotenen Zimmer gebucht. Zugewiesen wurde das Zimmer 3064. Trotz mehrerer auf ein Rauchverbot hinweisenden Schildern roch der gesamte Flurbereich nach deutlich nach Zigaretten. Das Zimmer war den Erwartungen komfortabel eingerichtet und sehr sauber. allerdings entsprach die Funktionalität des Badezimmers nicht dem erwarteten Standard. Die Betätigung der in der Wand verbauten Toilettenspuelung ist ohne ein Verstauchen des Daumen-oder Zeigefingers fast unmöglich. Der Stopfen für den Wannenabfluss war inoperabel und musste mit den Fingern herausgezogen werden und im Spender der Kleenex Tücher befanden sich genau drei Papiertücher. Wir hatten beim Verlassen des Hotels für einen Stadtbesuch gegen 18:00 Uhr die defekte Toilettenspülung an der Rezeption moniert. Bei unserer Rückkehr gegen 23:00 Uhr war nicht veranlasst worden. Ich hatte es um diese Uhrzeit damit auf sich beruhen lassen jedoch beim Check-out am nächsten Morgen, den obigen Sachverhalt vorgetragen. Die Rezeptionisten war sehr freundlich und aufmerksam, hat sich insbesondere für die Inaktivität der Kollegen vom Vorabend entschuldigt, insbesondere weil die Zuweisung eines anderen Zimmers wohl problemlos möglich gewesen wäre und hat uns einen 30%tigen Rabat gewährt.
",Hugo-Eckener-Ring 15, Sheraton Frankfurt Airport Hotel & Conference Center ,4.0 von fünf Punkten,3.525 Bewertungen,3 von fünf Punkten,5.0 von 5
Frankfurt am Main,1,"60549 Frankfurt am Main, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g187337-d202274-Reviews-Sheraton_Frankfurt_Airport_Hotel_Conference_Center-Frankfurt_Hesse.html,salem in der bar,"
das hotel liegt in der nahe von terminal . ich fühle mich sehr glücklich in der bar mit salem und Avto. die beide sind sehr freundlich und sehr vorkommen. ich fühle mich in 2.weihnachts tag wie Zuhause. Danke sheraton
",Hugo-Eckener-Ring 15, Sheraton Frankfurt Airport Hotel & Conference Center ,4.0 von fünf Punkten,3.525 Bewertungen,5 von fünf Punkten,5.0 von 5
Frankfurt am Main,,"60327 Frankfurt am Main, Hessen, ","München, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d11622926-Reviews-Adina_Apartment_Hotel_Frankfurt-Frankfurt_Hesse.html,Schöne und moderne Apartments in zentraler Lage,"
Das Adina Hotel ist sehr neu und modern. Es gibt eine nette Lounge im Erdgeschoss und das Frühstück ist gut. Die Apartments sind komfortabel ausgestattet (Geschirrspül-/Waschmaschine) und wir haben gut geschlafen. Direkt neben dem Hotel ist das Sky Plaza Einkaufszentrum mit vielen Geschäften. Zum Hauptbahnhof geht man zu Fuß ca. 10 Minuten. Von dort aus kann man auch gut bis zur Shoppingmeile Zeil, der Altstadt, dem Römer etc. gehen. Wir sind bis Sachsenhausen gelaufen und dann entspannt öffentlich in wenigen Minuten zurück gefahren. Das Hotel ist noch von einigen Baustellen umgeben, die uns aber nicht gestört haben. Parken kann man in der sehr kleinen Hotelgarage oder im Einkaufszentrum (ca 28 Euro/Tag). Das Personal ist freundlich und wir kommen gerne wieder.
",Osloer Str. 3, Adina Apartment Hotel Frankfurt ,4.5 von fünf Punkten,82 Bewertungen,4 von fünf Punkten,4.0 von 5
Frankfurt am Main,1,"60327 Frankfurt am Main, Hessen, ","Bargteheide, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d11622926-Reviews-Adina_Apartment_Hotel_Frankfurt-Frankfurt_Hesse.html,Top für Messebesucher,"
Top Ausstattung, nahe an der Messe und Trotzdem nicht laut - außer der Klimaanlage. Freundliches Personal und gutes Frühstück. Aufgrund der Messe war das Hotel gut besucht und die Frühstücksplätze etwas knapp.
",Osloer Str. 3, Adina Apartment Hotel Frankfurt ,4.5 von fünf Punkten,82 Bewertungen,4 von fünf Punkten,4.0 von 5
Frankfurt am Main,,"60329 Frankfurt am Main, Hessen, ","Frankfurt am Main, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d1450527-Reviews-Adina_Apartment_Hotel_Frankfurt_Neue_Oper-Frankfurt_Hesse.html,Im Herzen Frankfurts,"
Wer die Stadt erkunden will ist hier genau richtig. Sehr zentral gelegen. Topp Hotel mit sehr gutem Service. Frühstück frisch und lecker. Zimmer sehr sauber und gemütlich mit viel Platz für alles. Leider muss man zum Pool durch die Lobby - Bademantel mitnehmen.
",Wilhelm-Leuschner-Str. 6, Adina Apartment Hotel Frankfurt Neue Oper ,4.5 von fünf Punkten,1.301 Bewertungen,4 von fünf Punkten,4.5 von 5
Frankfurt am Main,1,"60439 Frankfurt am Main, Hessen, ","Hamburg, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d230355-Reviews-Relexa_Hotel_Frankfurt_Main-Frankfurt_Hesse.html,Nichts zu meckern,"
Eine meiner vielen Dienstreisen führte mich dieser Tage in das Relaxa Hotel, welches im F Nordwesten ca 15 Taxi Minuten vom Flughafen entfernt in einem Business Viertel liegt. Das Haus wurde vor einiger Zeit renoviert und verströmt trotz alleiniger 4 Sterne mediterranen Luxus im Eingangsbereich, getragen von einer Statue, die an der Galerie trohnt. Die Zimmer sind ausreichend groß und sauber. Das Personal war zumindestens bei meinem Erscheinen am Empfangsbereich nicht so freundlich wie erwartet, eigentlich sogar recht unhöflich. Das Frühstücksbüffet beinhaltet alles was der interkontinentale Gaumen so kennt. Das Büffet selber war etwas unaufgeräumt während meines Frühstücks, obwohl wenige Gäste anwesend waren ?? Das Mittagsbüffet war schmackhaft, die Meetingräume mit allem ausgestattet was der Moderator braucht. Das Preis Leistungsverhältnis war angemessen und nachvollziehbar.
",Lurgiallee 2, relexa hotel Frankfurt/Main ,4.0 von fünf Punkten,149 Bewertungen,4 von fünf Punkten,4.5 von 5
Frankfurt am Main,2,"60486 Frankfurt am Main, Hessen, ","Singen, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d199312-Reviews-Maritim_Hotel_Frankfurt_Main-Frankfurt_Hesse.html,Zentral gelegen,"
Diese Hotel liegt direkt neben dem Congress Center, das bedeutet kurze Wege. Der Service war freundlich und zuvorkommend. Die Zimmer sind ausreichend groß, sehr sauber und bieten für einen Geschäftsmann alles.
",Theodor-Heuss-Allee 3, Maritim Hotel Frankfurt / Main ,3.5 von fünf Punkten,634 Bewertungen,4 von fünf Punkten,4.0 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ","Zweibrücken, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,Besucher Marathon,"
Vom sehr freundlichen und hilfsbereiten Empfang, zuvorkommenden Service in der Bar und beim Frühstück, bis zum Check out, alles perfekt. Konnten Parkplatz länger nutzen bis Ende Marathon. Kommen gerne wieder
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,5 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ","Metzingen, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,Außergewöhnlich gut,"
Sehr gute Zimmerqualität, sehr sauber, bequemes Bett, modern eingerichtet.",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,4 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ","Bolzano (Bozen), Italien",https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,super Hotel,"
sehr freundlicher Empfang, hilfsbereit, Zimmer groß, elegant und sauber, tolles Bad, ruhig, Minibar gratis,Bar und Restaurant vorhanden, einfach mit dem Auto zu erreichen, Flughafen in der Nähe,super Preis-Leistung,
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,4 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ",Pinneberg,https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,Ordentliche Qualität,"
Ich war beruflich für eine Nacht im Innside. Wenn man in Niederrad zu tun hat, ist das Hotel sehr praktisch gelegen, für die Frankfurter Innenstadt ungeeignet. Beim Eintreten fällt einem die sehr interessante Eingangshalle (sehr hoch) mit einer witzigen, modernen Lichtinstallation auf. Nett. Die Zimmer sind von der Größe her in Ordnung, modern eingerichtet und sauber. Die Dusche im Zimmer (Glaswände) ist gewöhnungsbedürftig, mein Ding ist das nicht so, aber wenigstens ist die Toilette extra abgetrennt ;-) Der Service war freundlich, der Preis mit 130 Euro für Frankfurt gerade noch angemessen.
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,4 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60549 Frankfurt am Main, Hessen, ","Jena, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d202274-Reviews-Sheraton_Frankfurt_Airport_Hotel_Conference_Center-Frankfurt_Hesse.html,Honig aus der Wabe,"
Die Lage direkt am Flughafen ist super. Allerdings erwartet man von einem Sheraton-Hotel mehr. Das Zimmer war teilweise verschmutzt, es lagen Haare rum und Staub. Die Klospülung war nur sehr schwer zu betätigen, um nicht zu sagen sie war defekt (Raum 3033), das Klobecken sehr niedrig. Die Kaffeemaschine kann man ohne Anleitung nicht bedienen, kein schneller Kaffee möglich. Die Steckdosen im Zimmer beschränken sich auf den Schreibtisch, am Bett gibt es keine einzige Steckdose. Es hing ein Bild an der Wand, leider direkt hinter dem Fernsehgerät, sehr schlecht angebracht. Die Betten waren okay. Das Beste am Hotel war das Frühstück, wobei auch hier die Auswahl sehr dürftig war. Toll fand ich den Honig direkt aus der Wabe zu essen, das ist mal eine Erfahrung wert.
",Hugo-Eckener-Ring 15, Sheraton Frankfurt Airport Hotel & Conference Center ,4.0 von fünf Punkten,3.525 Bewertungen,2 von fünf Punkten,5.0 von 5
Frankfurt am Main,,"60549 Frankfurt am Main, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g187337-d202274-Reviews-Sheraton_Frankfurt_Airport_Hotel_Conference_Center-Frankfurt_Hesse.html,Bitte meiden!,"
Service in der Davidoff Lounge unterirdisch! Eiskaltes, und wirklich eiskaltes Clubsandwich serviert! Auf Nachfrage kam nur: der Küchenchef will das so! Es wurde trotzdem der volle Preis kassiert! Gut, es gab einen Drink aufs Haus. Trotzdem sehr arroganter Barmanager, der seines Rufs nicht gerecht wird!!! Dafür dann im Zimmer eine Minibar die heizt und nicht kühlt! Pisswarmes Becks ist ungemein lecker für 5,50 €! Fernsehempfang ist nur sporadisch! Bitte, bitte Leute meidet diese Bude! Nehmt ein Hotel das seinem Ruf gerecht wird! Bin mal gespannt auf das Frühstück...
",Hugo-Eckener-Ring 15, Sheraton Frankfurt Airport Hotel & Conference Center ,4.0 von fünf Punkten,3.525 Bewertungen,1 von fünf Punkten,5.0 von 5
Frankfurt am Main,,"60549 Frankfurt am Main, Hessen, ","Schwalmtal, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d202274-Reviews-Sheraton_Frankfurt_Airport_Hotel_Conference_Center-Frankfurt_Hesse.html,Für eine Nacht o.k.,"
Wir haben hier eine Nacht vor unserem Flug übernachtet.",Hugo-Eckener-Ring 15, Sheraton Frankfurt Airport Hotel & Conference Center ,4.0 von fünf Punkten,3.525 Bewertungen,4 von fünf Punkten,5.0 von 5
Frankfurt am Main,1,"60439 Frankfurt am Main, Hessen, ","Basel, Schweiz",https://www.tripadvisor.de/Hotel_Review-g187337-d230355-Reviews-Relexa_Hotel_Frankfurt_Main-Frankfurt_Hesse.html,"Gutes Hotel, etwas ab vom ÖV","
Das Relexa Hotel ist sauber, das Personal ist freundlich, allerdings war die Anreise für mich mit dem ÖV nicht ganz einfach. Vom Hotel aus musste ich am nächsten Morgen weiter. Leider war das Empfangsteam nicht auf die Frage eingestellt, wie ich zum TÜV-Ausbildungszentrum komme. Komisch, denn dort ist das Relexa als Hotel angegeben & ich hätte etwas mehr erwartet. ",Lurgiallee 2, relexa hotel Frankfurt/Main ,4.0 von fünf Punkten,149 Bewertungen,4 von fünf Punkten,4.5 von 5
Frankfurt am Main,2,"60439 Frankfurt am Main, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g187337-d230355-Reviews-Relexa_Hotel_Frankfurt_Main-Frankfurt_Hesse.html,Super freundliche Bedienung,"
Wir waren geschäftlich auf einer Tagung im Hotel.",Lurgiallee 2, relexa hotel Frankfurt/Main ,4.0 von fünf Punkten,149 Bewertungen,5 von fünf Punkten,4.5 von 5
Frankfurt am Main,,"60486 Frankfurt am Main, Hessen, ",Bielefeld,https://www.tripadvisor.de/Hotel_Review-g187337-d199312-Reviews-Maritim_Hotel_Frankfurt_Main-Frankfurt_Hesse.html,Gerne wieder,"
Wir hatten ein WE - Arrangement gebucht, der Preis unschlagbar! Das Zimmer in der 7. Etage war prima. Der Service war in allen Bereichen super nett. Die Deko in der Bar gefiel uns leider nicht, aber naja, es gibt genug andere Möglichkeiten.
",Theodor-Heuss-Allee 3, Maritim Hotel Frankfurt / Main ,3.5 von fünf Punkten,634 Bewertungen,4 von fünf Punkten,4.0 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ",Berlin,https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,Loftzimmer zu empfehlen,"
Wir hatten ein Loftzimmer gebucht. Modernes Zimmer mit Glasdusche und getrennter Toilette, dazu eine kleine Eßecke mit Microwelle und Geschirr. Supermärkte sind fußläufig erreichbar. Am Wochenende war leider das Restaurant geschlossen, aber es gab eine kleine reduzierte Karte im Roomservice. Frühstück bestellten wir aufs Zimmer, es gab alles, was man so wollte.Der Parkplatz ist mit 19.-€ teuer, da er offen und unbewacht ist.
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,4 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,Sehr zu empfehlen!,"
Das Hotel befindet sich in der Bürostadt von Frankfurt(Niederrad) etwa 15min vom Flughafen und nur ein paar Minuten von der Autobahn entfernt. Davon merkt man aber geräuschmäßig garnichts. Etwa 300m vom Hotel entfernt hat man Zugang zu den öffentlichen Verkehrsmitteln (Straßen und S-Bahn)und man ist etwa in 20-25min in der Innenstadt oder in der anderen Richtung auch schnell in Wiesbaden oder Mainz.",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,5 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ","Eisingen, Germany",https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,keiner,"
sehr guter Gesamteindruck; Lage des Hotels gefällt mir sehr gut, Zimmer sind ok. Die Duschumrandung war in unserem Zimmer etwas undicht und dadurch hatte der Teppichboden Flecken. Die Matratze war vielleicht etwas zu hart
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,4 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ",Neubiberg,https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,"Passt, wie fast immer","
Ruhiges, modern gestaltetes Hotel mit höflichen und freundlichen Angstellten. Zimmer sind modern und zweckmäßig eingerichtet. Sauber und gepflegt. Gutes , wenn auch nicht ganz billigesFrühstück. Kleiner Fitnessbereich und Wellnessbereich vorhanden
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,4 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ","Stuttgart, Deutschland",https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,Tolles Hotel!,"
Das Hotel ist perfekt für einen Kurztrip. Tolles Design, Zimmer sind sehr gut ausgestattet! Das Personal ist sehr freundlich und zuvorkommend! Man fühlt sich sofort wohl. Sehr ruhige Lage und SBahn-Station in der Nähe.Der ""Begrüssungskuchen"" war super lecker!
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,5 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ","Mamer, Luxemburg",https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,HOTEL MÄSSIG - SERVICE AN DER REZEPTION ??? VIEL LUFT NACH OBEN,"
Wir hatten bei ursprünglich bei INNSIDE by Melia Frankfurt Ostend reserviert weil es neu und zentral ist. wurden aber 24 stunden vorher darüber informiert dass das Hotel einen Wasserschaden hat. uns wurde das Innside by Meliá Frankfurt Niederrad vorgeschlagen. Wir konnten leider nicht kurzfristig einen anderen Hotel im zentrum finden. Ursprünglich wollten wir beim Steigenberger reservieren und der war natürlich ausgbucht 24 stunden vorher. So mussten wir notgedrungen nach Niederrad und mussten das ganze Wochenende über mit dem Auto in Frankfurt herumfahren.das Beste, wir kamen um 14h im Hotel an und mussten 1 stunde draussen warten weil unser Zimmer noch nicht fertig war. eine kleine Entschädigung für die ganzen Unannehmlichkeiten war nicht drin auch nachdem die Azubi bei ihren Chefs nachgefragt hat, nicht einmal einen Kostenlosen parkplatz wurde vorgeschlagen geschwiege einen upgrade oder ähnliches. ",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,2 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ","Mamer, Luxemburg",https://www.tripadvisor.de/Hotel_Review-g187337-d572850-Reviews-Innside_by_Melia_Frankfurt_Niederrad-Frankfurt_Hesse.html,Immer wieder,"
Zuvorkommendes Personal, gutes Frühstück und super Dusche im Zimmer! Allein die Musik an der Rezeption ist gewöhnungsbedürftig und das Personal tut mir echt Leid. Alles in allem aber sehr empfehlenswert, die Lüftung im Zimmer ist etwas laut und hat beim Schlafen gestört.Macht aber nichts bei dem schönen Bad.
",Herriotstrasse 2, Innside by Meliá Frankfurt Niederrad ,4.0 von fünf Punkten,541 Bewertungen,5 von fünf Punkten,3.5 von 5
Frankfurt am Main,,"60528 Frankfurt am Main, Hessen, ",Germany,https://www.tripadvisor.de/Hotel_Review-g187337-d7646850-Reviews-Hoffmanns_Hofe-Frankfurt_Hesse.html,guteTagungsstätte mit Hotelzimmern in angenehm reduziertem Design,"
hoffmanns höfe ist eine Tagungsstätte mit eigenem Hotel auf der Südseite des Mains. Per Straßenbahn vom Hauptbahnhof gut erreichbar. Die Architektur ist aus den 60er/70er Jahren. Es wurde aber sehr behutsam und stilvoll renoviert. Die Zimmer sind angenehm zurückhaltend gestaltet, eher nüchtern, aber hoch funktionell. Das Badezimmer war geräumig. Keine überflüssige Deko - ein wohltuender Kontrast zu den sonst allgegenwärtigen Trockenblumensträußen. WLAN kostenfrei und tadellos. Das Frühstück war ein Selbstbedienungsbuffet mit überschaubarem Angebot. Die einzelnen Produkte waren aber von guter (Bio-) Qualität. Lieber weniger, dafür gute Produkte - auch das sehr angenehm, ebenso wie die guten Bäckerbrötchen, die sicher nicht aus dem Aufbackautomaten stammten. Dass die Beschäftigten zum Teil Menschen mit Handicaps sind, trägt zu einer sehr freundlichen, positiven Atmosphäre bei. Das Preis-Leistungs-Verhältnis war absolut angemessen. Auch für Privatbesuche in Frankfurt durchaus geeignet.
",Heinrich-Hoffmann-Str. 3, Hoffmanns Höfe ,4.0 von fünf Punkten,7 Bewertungen,4 von fünf Punkten,
